,,,,,,,
PRODUCT TITLE,ASIN,PRICE,AMAZON LINK,MOQ,QTY AVAILABLE,ROI,MONTHLY SALES
17/02/2025,,,,,,,
Nature Made (Exp 03/26),B0B8Q83NV6,$7.50,https://a.co/d/82pq7uR,"1,000","2,000",52%,"1,000+"
Optimum Nutrition ,B07G8BM32L,$28.00,https://a.co/d/dt050H7,700,"7,000",60%,"2,000+"
Method Men,B0CHT8N3FQ,$4.75,https://a.co/d/ff0ybQt,500,"1,000",55%,100+
Lumineux ,B0C6M5BZT7,$13.50,https://a.co/d/2MkRqpx,500,"1,000",33%,800+
ResMed,B07SHVJ38F,$22.5,https://a.co/d/3FDcx5M,500,"1,870",30%,"2,000+"
ResMed,B06XY7M7NV,$25.50,https://a.co/d/3xYoQEP,400,800,35%,"1,000+"
Safe-Guard,B000HHSHI8,$88.00,https://a.co/d/aWIRUhf,100,"1,000",56%,900+
Coloplast,B00427Q0VK,$38.00,https://a.co/d/aCcBzuO,300,"1,800",39%,600+
18/02/2025,,,,,,,
5 Gum,B0053OL0DY,$9.00,https://a.co/d/ixMd5PT,720,720,43%,250+
HyperX,B08BTHXJFN,$38.00,https://a.co/d/9T9Fw5g,500,500,41%,500+
Bio-Botanical Research,B009KT9TEU,$16.00,https://a.co/d/glXmejy,"2,000","4,000",73%,"3,000+"
BAEASU,B0CZ9CLJG5,$29.00,https://a.co/d/5hD2t8u,208,208,55%,"2,000+"
SUVCON,B0C2Y6WXJ7,$33.00,https://a.co/d/89G1WZr,280,280,53%,"7,000+"
L.O.L. Surprise,B09PGS2RKK,$14.00,https://a.co/d/egxqP6Y,500,"1,000",37%,300+
Wet & Forget,B01CX7BJOI,$7.00,https://a.co/d/5587I5s,500,"1,000",51%,200+
Meguiar's,B08PPYQ9W5,$14.50,https://a.co/d/i8z8jMI,600,"1,200",46%,200+
Meguiar's,B07K13JHCZ,$9.50,https://a.co/d/3wqVrTd,600,"1,200",42%,200+
Coloplast,B00427Q0VK,$38.00,https://a.co/d/aCcBzuO,300,"1,800",39%,600+
Nature Made (Exp 03/26),B0B8Q83NV6,$7.50,https://a.co/d/82pq7uR,"1,000","2,000",52%,"1,000+"
19/02/2025,,,,,,,
Shark,B09V1T3QMN,$150.00,https://a.co/d/aGhWol1,370,370,40%,100+
Beats Studio,B096SSCV5K,$60.00,https://a.co/d/0RFwhTk,"1,350","2,700",32%,"4,000+"
Samsung,B0CF7GYNW2,$42.00,https://a.co/d/exg3CMj,160,160,32%,"9,000+"
Dr. Scholl's,B0C8PB6J5Y,$10.00,https://a.co/d/6tBnN2f,600,"1,200",39%,400+
Electrolux,B0CBL7DQYK,$16.50,https://a.co/d/7taY9dk,500,"2,000",62%,"1,000+"
Colgate (Exp 07/26),B0CVZMVHDH,$9.00,https://a.co/d/hWrzTnQ,"1,000","2,000",46%,400+
Exorany,B0BGHKBBXB,$8.50,https://a.co/d/bXVDC8F,"2,000","2,000",36%,400+
BIDIUTOY,B0BGHKBBXB,$12.00,https://a.co/d/djHITDQ,"1,000","1,000",35%,300+
Password,B0CFGC7NLP,$7.50,https://a.co/d/37YGhFr,550,"1,100",49%,400+
Sambucol,B0BJ3D5FHF,$9.00,https://a.co/d/dgqjeYG,950,"1,900",49%,200+
ALTOIDS,B000FKL0EU,$16.00,https://a.co/d/fU6dCPw,360,360,52%,1000+
PRIME (Exp 12/25),B0C6FQRCZR,$12.50,https://a.co/d/bcxOCed,119,119,100% (FBM),600+
PRIME (Exp 12/25),B0CWSD86H5,$10.50,https://a.co/d/5kNcCnQ,800,"1,785",53% (FBM),600+
20/02/2025,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/01/2025,,,,,,,